,UMAP Dimension 1,UMAP Dimension 2,antibody
1336,-7.3238106,7.579929,CV07-255
1337,-7.3023615,7.688687,CV07-262
1345,-7.1541286,8.340475,DH1041
1347,-6.6555796,8.906846,DH1043
1358,-7.123357,8.362061,DH1128
1360,-7.074745,8.442937,DH1130
1364,-6.548456,3.3854685,DH1154
1370,-7.2859244,7.227859,DH1173
1371,-6.5965858,2.6272345,DH1179
1372,-6.7707677,4.811545,DH1180
1378,-7.1468945,8.325589,DH1214
1383,-7.273873,2.9811654,LY-CoV016
1385,-7.017763,2.825555,LY-CoV488
1387,-7.1649513,3.9951065,P2B-1A10
1389,-7.2961454,7.092358,P2C-1A3
1390,-6.562489,2.635246,P4A1
1391,-7.055604,4.202609,P5A-2G9
1392,-6.6008525,2.6853094,P5A-3A1
1395,-7.3006825,7.6467752,S2H13
1406,-6.9840117,2.6705997,XG-017
1417,-7.3002315,7.26712,XGv-003
1424,-6.8033357,4.9042697,XGv-040
1435,-6.739987,4.8451343,XGv-097
1438,-6.8371096,4.5753345,XGv-116
1440,-7.1936827,8.218372,XGv-155
1451,-7.2524343,7.285142,XGv-225
1453,-6.6317544,8.953625,XGv-232
1489,-7.383928,3.2062032,XGv-387
