,Cluster,Antibody
240,2,BD55-1411
241,2,BD55-1508
242,2,BD55-1723
243,2,BD55-3149
244,2,BD55-3304
245,2,BD55-3500
246,2,BD55-4345
247,2,BD55-4483
248,2,BD55-5164
249,2,BD55-5166
250,2,BD55-5167
251,2,BD55-5170
252,2,BD55-5189
253,2,BD55-5196
254,2,BD55-5201
255,2,BD55-5212
256,2,BD55-5223
257,2,BD55-5228
258,2,BD55-5233
259,2,BD55-5238
260,2,BD55-5239
261,2,BD55-5242
262,2,BD55-5245
263,2,BD55-5264
264,2,BD55-5265
265,2,BD55-5267
266,2,BD55-5276
267,2,BD55-5286
268,2,BD55-5296
269,2,BD55-5301
270,2,BD55-5304
271,2,BD55-5305
272,2,BD55-5323
273,2,BD55-5327
274,2,BD55-5339
275,2,BD55-5343
276,2,BD55-5358
277,2,BD55-5380
278,2,BD55-5384
279,2,BD55-5397
280,2,BD55-5427
281,2,BD55-5432
282,2,BD55-5474
283,2,BD55-5484
284,2,BD55-5516
285,2,BD55-5521
286,2,BD55-5537
287,2,BD55-5564
288,2,BD55-5580
289,2,BD55-5588
290,2,BD55-5594
291,2,BD55-5615
292,2,BD55-5620
293,2,BD55-5638
294,2,BD55-5640
295,2,BD55-5643
296,2,BD55-5662
297,2,BD55-5675
298,2,BD55-5690
299,2,BD55-5699
300,2,BD55-5700
301,2,BD55-5713
302,2,BD55-5715
303,2,BD55-5736
304,2,BD55-5737
305,2,BD55-5761
306,2,BD55-5771
307,2,BD55-5811
308,2,BD55-5874
309,2,BD55-5878
310,2,BD55-5882
311,2,BD55-5906
312,2,BD55-5919
313,2,BD55-5935
314,2,BD55-5955
315,2,BD55-5957
316,2,BD55-5959
317,2,BD55-6012
318,2,BD55-6014
319,2,BD55-6015
320,2,BD55-6019
321,2,BD55-6025
322,2,BD55-6033
323,2,BD55-6051
324,2,BD55-6063
325,2,BD55-6064
326,2,BD55-6066
327,2,BD55-6068
328,2,BD55-6069
329,2,BD55-6080
330,2,BD55-6083
331,2,BD55-6086
332,2,BD55-6087
333,2,BD55-6088
334,2,BD55-6092
335,2,BD55-6105
336,2,BD55-6106
337,2,BD55-6112
338,2,BD55-6197
339,2,BD55-6206
340,2,BD55-6231
341,2,BD55-6236
342,2,BD55-6243
343,2,BD55-6262
344,2,BD55-6263
345,2,BD55-6268
346,2,BD55-6272
347,2,BD55-6283
348,2,BD55-6297
349,2,BD55-6305
350,2,BD55-6306
351,2,BD55-6308
352,2,BD55-6335
353,2,BD55-6339
354,2,BD55-6340
355,2,BD55-6347
356,2,BD55-6379
357,2,BD55-6383
358,2,BD55-6411
359,2,BD55-6445
360,2,BD55-6447
361,2,BD55-6459
362,2,BD55-6466
363,2,BD55-6478
364,2,BD55-6486
365,2,BD55-6492
366,2,BD55-6507
367,2,BD55-6510
368,2,BD55-6520
369,2,BD55-6552
370,2,BD55-6564
371,2,BD55-6623
372,2,BD55-6642
373,2,BD55-6647
374,2,BD55-6687
375,2,BD55-6697
376,2,BD55-6727
377,2,BD55-682
378,2,BD55-854
379,2,BD55-927
380,2,BD55-987
381,2,BD56-006
382,2,BD56-008
383,2,BD56-020
384,2,BD56-030
385,2,BD56-1301
386,2,BD56-133
387,2,BD56-1390
388,2,BD56-1452
389,2,BD56-1475
390,2,BD56-1520
391,2,BD56-1567
392,2,BD56-1755
393,2,BD56-1780
394,2,BD56-1823
395,2,BD56-184
396,2,BD56-1847
397,2,BD56-1852
398,2,BD56-1856
399,2,BD56-1863
400,2,BD56-1877
401,2,BD56-1924
402,2,BD56-1944
403,2,BD56-300
404,2,BD56-400
405,2,BD56-408
406,2,BD56-425
407,2,BD56-460
408,2,BD56-531
409,2,BD56-579
410,2,BD56-602
411,2,BD56-603
412,2,BD56-887
413,2,BD57-024
414,2,BD57-0323
415,2,BD57-037
416,2,BG4-25
417,2,C594
418,2,COV2-2015
419,2,COV2-2098
420,2,COV2-2113
421,2,COV2-2514
422,2,DH1073
423,2,DH1126
424,2,LY-CoV481
425,2,S2X259
426,2,XG2v-039
427,2,XGv-057
428,2,XGv-105
429,2,XGv-360
430,2,XGv-404
431,2,XGv-412
432,2,XGv-416
433,3,BD-218
434,3,BD-369
435,3,BD-380
436,3,BD-395
437,3,BD-503
438,3,BD-515
439,3,BD-599
440,3,BD-613
441,3,BD-616
442,3,BD-628
443,3,BD-692
444,3,BD-725
445,3,BD-744
446,3,BD-796
447,3,BD-827
448,3,BD-846
449,3,BD-916
450,3,BD55-1073
451,3,BD55-1075
452,3,BD55-1251
453,3,BD55-1268
454,3,BD55-1273
455,3,BD55-1354
456,3,BD55-1486
457,3,BD55-1503
458,3,BD55-1604
459,3,BD55-1763
460,3,BD55-311
461,3,BD55-3414
462,3,BD55-3417
463,3,BD55-3721
464,3,BD55-3773
465,3,BD55-3832
466,3,BD55-4418
467,3,BD55-4804
468,3,BD55-5175
469,3,BD55-5226
470,3,BD55-5251
471,3,BD55-5402
472,3,BD55-5413
473,3,BD55-5435
474,3,BD55-5462
475,3,BD55-5467
476,3,BD55-547
477,3,BD55-5566
478,3,BD55-5625
479,3,BD55-5629
480,3,BD55-5694
481,3,BD55-5731
482,3,BD55-5748
483,3,BD55-5790
484,3,BD55-5815
485,3,BD55-5880
486,3,BD55-5892
487,3,BD55-5895
488,3,BD55-5898
489,3,BD55-5923
490,3,BD55-593
491,3,BD55-6013
492,3,BD55-603
493,3,BD55-6030
494,3,BD55-6038
495,3,BD55-6039
496,3,BD55-6050
497,3,BD55-6060
498,3,BD55-6074
499,3,BD55-6075
500,3,BD55-6223
501,3,BD55-6276
502,3,BD55-6279
503,3,BD55-6284
504,3,BD55-6286
505,3,BD55-6291
506,3,BD55-6301
507,3,BD55-6307
508,3,BD55-6336
509,3,BD55-6342
510,3,BD55-6355
511,3,BD55-6372
512,3,BD55-6374
513,3,BD55-6389
514,3,BD55-6406
515,3,BD55-6408
516,3,BD55-6432
517,3,BD55-6454
518,3,BD55-6494
519,3,BD55-6597
520,3,BD55-6614
521,3,BD55-6648
522,3,BD55-6668
523,3,BD55-6684
524,3,BD55-6691
525,3,BD55-6709
526,3,BD55-6718
527,3,BD55-711
528,3,BD55-918
529,3,BD55-936
530,3,BD55-948
531,3,BD55-979
532,3,BD56-010
533,3,BD56-012
534,3,BD56-015
535,3,BD56-027
536,3,BD56-039
537,3,BD56-055
538,3,BD56-090
539,3,BD56-091
540,3,BD56-114
541,3,BD56-1219
542,3,BD56-123
543,3,BD56-1234
544,3,BD56-1248
545,3,BD56-125
546,3,BD56-1266
547,3,BD56-1271
548,3,BD56-1285
549,3,BD56-1297
550,3,BD56-1307
551,3,BD56-1316
552,3,BD56-1326
553,3,BD56-1328
554,3,BD56-1333
555,3,BD56-136
556,3,BD56-137
557,3,BD56-1414
558,3,BD56-1421
559,3,BD56-1431
560,3,BD56-1436
561,3,BD56-1456
562,3,BD56-1471
563,3,BD56-152
564,3,BD56-153
565,3,BD56-1537
566,3,BD56-1592
567,3,BD56-1637
568,3,BD56-1657
569,3,BD56-1687
570,3,BD56-169
571,3,BD56-1692
572,3,BD56-1694
573,3,BD56-1709
574,3,BD56-1719
575,3,BD56-1721
576,3,BD56-1737
577,3,BD56-1761
578,3,BD56-177
579,3,BD56-1779
580,3,BD56-1813
581,3,BD56-1828
582,3,BD56-1832
583,3,BD56-1834
584,3,BD56-1844
585,3,BD56-1876
586,3,BD56-1898
587,3,BD56-1899
588,3,BD56-1929
589,3,BD56-1931
590,3,BD56-1935
591,3,BD56-204
592,3,BD56-210
593,3,BD56-211
594,3,BD56-216
595,3,BD56-222
596,3,BD56-232
597,3,BD56-263
598,3,BD56-411
599,3,BD56-436
600,3,BD56-438
601,3,BD56-439
602,3,BD56-446
603,3,BD56-468
604,3,BD56-482
605,3,BD56-502
606,3,BD56-516
607,3,BD56-518
608,3,BD56-539
609,3,BD56-545
610,3,BD56-565
611,3,BD56-574
612,3,BD56-577
613,3,BD56-585
614,3,BD56-596
615,3,BD56-597
616,3,BD56-612
617,3,BD56-621
618,3,BD56-624
619,3,BD56-626
620,3,BD56-632
621,3,BD56-633
622,3,BD56-638
623,3,BD56-640
624,3,BD56-642
625,3,BD56-649
626,3,BD56-654
627,3,BD56-664
628,3,BD56-678
629,3,BD56-683
630,3,BD56-685
631,3,BD56-702
632,3,BD56-713
633,3,BD56-731
634,3,BD56-915
635,3,BD56-916
636,3,BD56-944
637,3,BD56-953
638,3,BD56-955
639,3,BD56-959
640,3,BD56-964
641,3,BD56-973
642,3,BD56-976
643,3,BD57-004
644,3,BD57-008
645,3,BD57-009
646,3,BD57-0109
647,3,BD57-0121
648,3,BD57-0221
649,3,BD57-0368
650,3,BD57-068
651,3,BD57-087
652,3,BD57-098
653,3,BD58-0589
654,3,C085
655,3,C089
656,3,C213
657,3,C547
658,3,COV2-2308
659,3,COV2-2628
660,3,COV2-2677
661,3,COV2-2841
662,3,COVOX-150
663,3,DH1045
664,3,S304
665,3,XG2v-006
666,3,XGv-017
667,3,XGv-056
668,3,XGv-208
669,3,XGv-233
670,3,XGv-236
671,3,XGv-346
672,3,XGv-405
673,4,BD-421
674,4,BD-670
675,4,BD55-1009
676,4,BD55-1035
677,4,BD55-1049
678,4,BD55-1066
679,4,BD55-1192
680,4,BD55-1270
681,4,BD55-1345
682,4,BD55-1435
683,4,BD55-1957
684,4,BD55-1962
685,4,BD55-4382
686,4,BD55-4397
687,4,BD55-5176
688,4,BD55-5721
689,4,BD55-5836
690,4,BD55-5904
691,4,BD55-5909
692,4,BD55-5920
693,4,BD55-5921
694,4,BD55-5930
695,4,BD55-5939
696,4,BD55-5941
697,4,BD55-5962
698,4,BD55-5967
699,4,BD55-606
700,4,BD55-6385
701,4,BD55-818
702,4,BD55-824
703,4,BD55-852
704,4,BD55-862
705,4,BD55-864
706,4,BD55-870
707,4,BD55-878
708,4,BD55-887
709,4,BD55-893
710,4,BD55-899
711,4,BD55-917
712,4,BD55-93
713,4,BD55-931
714,4,BD55-939
715,4,BD55-958
716,4,BD55-970
717,4,BD55-972
718,4,BD55-988
719,4,BD56-092
720,4,BD56-108
721,4,BD56-112
722,4,BD56-1223
723,4,BD56-1230
724,4,BD56-1231
725,4,BD56-1235
726,4,BD56-1279
727,4,BD56-1282
728,4,BD56-132
729,4,BD56-1417
730,4,BD56-1433
731,4,BD56-1448
732,4,BD56-1460
733,4,BD56-1468
734,4,BD56-1596
735,4,BD56-1651
736,4,BD56-1658
737,4,BD56-1663
738,4,BD56-1690
739,4,BD56-1739
740,4,BD56-1744
741,4,BD56-1749
742,4,BD56-1757
743,4,BD56-1777
744,4,BD56-1784
745,4,BD56-1789
746,4,BD56-1791
747,4,BD56-1805
748,4,BD56-1808
749,4,BD56-1843
750,4,BD56-1881
751,4,BD56-1890
752,4,BD56-1892
753,4,BD56-1927
754,4,BD56-432
755,4,BD56-456
756,4,BD56-461
757,4,BD56-475
758,4,BD56-486
759,4,BD56-491
760,4,BD56-541
761,4,BD56-605
762,4,BD56-618
763,4,BD56-669
764,4,BD56-904
765,4,BD56-907
766,4,BD56-908
767,4,BD56-940
768,4,BD56-951
769,4,BD57-020
770,4,BD57-0411
771,4,BD57-046
772,4,BD57-051
773,4,BD57-060
774,4,BD57-067
775,4,BD57-069
776,4,BD57-077
777,4,BD57-089
778,4,BD58-0577
779,4,BD58-0580
780,4,C110
781,4,COV2-2780
782,4,COV2-2955
783,4,CV07-270
784,4,P2B-2F6
785,4,TAU-2220
786,4,XG2v-083
787,4,XGv-010
788,4,XGv-172
789,4,XGv-198
790,4,XGv-251
791,4,XGv-271
792,5,BD-255
793,5,BD-566
794,5,BD-623
795,5,BD-805
796,5,BD-807
797,5,BD-833
798,5,BD-836
799,5,BD-837
800,5,BD-898
801,5,BD-912
802,5,BD-922
803,5,BD55-1180
804,5,BD55-1233
805,5,BD55-1263
806,5,BD55-1334
807,5,BD55-1421
808,5,BD55-4662
809,5,BD55-5183
810,5,BD55-556
811,5,BD55-5655
812,5,BD55-5774
813,5,BD55-5866
814,5,BD55-5887
815,5,BD55-5912
816,5,BD55-6388
817,5,BD55-6390
818,5,BD56-005
819,5,BD56-049
820,5,BD56-1287
821,5,BD56-1391
822,5,BD56-1439
823,5,BD56-1446
824,5,BD56-1469
825,5,BD56-147
826,5,BD56-1609
827,5,BD56-1631
828,5,BD56-1662
829,5,BD56-1679
830,5,BD56-1697
831,5,BD56-1717
832,5,BD56-1775
833,5,BD56-1776
834,5,BD56-1787
835,5,BD56-1815
836,5,BD56-1829
837,5,BD56-1833
838,5,BD56-1861
839,5,BD56-187
840,5,BD56-1872
841,5,BD56-1889
842,5,BD56-1893
843,5,BD56-1896
844,5,BD56-1904
845,5,BD56-265
846,5,BD56-416
847,5,BD56-418
848,5,BD56-424
849,5,BD56-426
850,5,BD56-428
851,5,BD56-431
852,5,BD56-441
853,5,BD56-447
854,5,BD56-457
855,5,BD56-470
856,5,BD56-471
857,5,BD56-472
858,5,BD56-474
859,5,BD56-479
860,5,BD56-481
861,5,BD56-483
862,5,BD56-489
863,5,BD56-499
864,5,BD56-506
865,5,BD56-508
866,5,BD56-510
867,5,BD56-519
868,5,BD56-532
869,5,BD56-556
870,5,BD56-564
871,5,BD56-589
872,5,BD56-593
873,5,BD56-606
874,5,BD56-657
875,5,BD56-920
876,5,BD56-965
877,5,BD57-012
878,5,BD57-022
879,5,BD57-031
880,5,BD57-038
881,5,BD57-049
882,5,BD57-062
883,5,BD57-079
884,5,C597
885,5,COV2-2072
886,5,COV2-2381
887,5,COV2-2684
888,5,COV2-2941
889,5,COV2-3025
890,5,COVOX-253H165L
891,5,COVOX-253H55L
892,5,CV-X2-106
893,5,CV07-209
894,5,CV07-250
895,5,CV07-287
896,5,DH1155
897,5,S2E12
898,5,XG2v-095
899,5,XG2v-126
900,5,XGv-050
901,5,XGv-253
902,5,XGv-279
903,5,XGv-347
904,5,XGv-409
905,6,2-15
906,6,7D6
907,6,B38
908,6,BD-196
909,6,BD-236
910,6,BD-254
911,6,BD-362
912,6,BD-368
913,6,BD-397
914,6,BD-403
915,6,BD-417
916,6,BD-449
917,6,BD-504
918,6,BD-536
919,6,BD-598
920,6,BD-614
921,6,BD-618
922,6,BD-619
923,6,BD-629
924,6,BD-643
925,6,BD-693
926,6,BD-694
927,6,BD-715
928,6,BD-732
929,6,BD-739
930,6,BD-751
931,6,BD-767
932,6,BD-790
933,6,BD-791
934,6,BD-813
935,6,BD-822
936,6,BD-826
937,6,BD-835
938,6,BD-870
939,6,BD-897
940,6,BD-900
941,6,BD-906
942,6,BD55-1051
943,6,BD55-1065
944,6,BD55-1078
945,6,BD55-1092
946,6,BD55-1132
947,6,BD55-1136
948,6,BD55-1171
949,6,BD55-1223
950,6,BD55-1232
951,6,BD55-1237
952,6,BD55-1245
953,6,BD55-1249
954,6,BD55-1256
955,6,BD55-1274
956,6,BD55-1323
957,6,BD55-1374
958,6,BD55-1450
959,6,BD55-1456
960,6,BD55-1502
961,6,BD55-1507
962,6,BD55-1558
963,6,BD55-1576
964,6,BD55-1579
965,6,BD55-1694
966,6,BD55-1789
967,6,BD55-1809
968,6,BD55-1970
969,6,BD55-199
970,6,BD55-300
971,6,BD55-3451
972,6,BD55-3457
973,6,BD55-3716
974,6,BD55-4281
975,6,BD55-4285
976,6,BD55-4325
977,6,BD55-4344
978,6,BD55-4348
979,6,BD55-4351
980,6,BD55-4892
981,6,BD55-5163
982,6,BD55-5195
983,6,BD55-5198
984,6,BD55-5200
985,6,BD55-5333
986,6,BD55-5342
987,6,BD55-5386
988,6,BD55-5396
989,6,BD55-5416
990,6,BD55-5448
991,6,BD55-5466
992,6,BD55-5468
993,6,BD55-5477
994,6,BD55-5501
995,6,BD55-5512
996,6,BD55-5542
997,6,BD55-5543
998,6,BD55-5593
999,6,BD55-5598
1000,6,BD55-5599
1001,6,BD55-5612
1002,6,BD55-5631
1003,6,BD55-5634
1004,6,BD55-5644
1005,6,BD55-5659
1006,6,BD55-5676
1007,6,BD55-5689
1008,6,BD55-5693
1009,6,BD55-5728
1010,6,BD55-5747
1011,6,BD55-5775
1012,6,BD55-5785
1013,6,BD55-5831
1014,6,BD55-5854
1015,6,BD55-5856
1016,6,BD55-5897
1017,6,BD55-5901
1018,6,BD55-5903
1019,6,BD55-5908
1020,6,BD55-5918
1021,6,BD55-5925
1022,6,BD55-5933
1023,6,BD55-5940
1024,6,BD55-5943
1025,6,BD55-5945
1026,6,BD55-5948
1027,6,BD55-5950
1028,6,BD55-5966
1029,6,BD55-5974
1030,6,BD55-600
1031,6,BD55-6096
1032,6,BD55-6099
1033,6,BD55-6241
1034,6,BD55-6251
1035,6,BD55-6373
1036,6,BD55-6386
1037,6,BD55-6387
1038,6,BD55-6393
1039,6,BD55-6413
1040,6,BD55-6431
1041,6,BD55-6455
1042,6,BD55-6467
1043,6,BD55-6468
1044,6,BD55-6502
1045,6,BD55-6526
1046,6,BD55-6579
1047,6,BD55-6619
1048,6,BD55-6626
1049,6,BD55-6638
1050,6,BD55-6644
1051,6,BD55-6667
1052,6,BD55-6671
1053,6,BD55-6677
1054,6,BD55-6689
1055,6,BD55-6714
1056,6,BD55-75
1057,6,BD55-81
1058,6,BD55-829
1059,6,BD55-833
1060,6,BD55-837
1061,6,BD55-847
1062,6,BD55-856
1063,6,BD55-871
1064,6,BD55-879
1065,6,BD55-892
1066,6,BD55-903
1067,6,BD55-905
1068,6,BD55-906
1069,6,BD55-910
1070,6,BD55-913
1071,6,BD55-944
1072,6,BD55-965
1073,6,BD55-97
1074,6,BD56-003
1075,6,BD56-021
1076,6,BD56-059
1077,6,BD56-1181
1078,6,BD56-1243
1079,6,BD56-1250
1080,6,BD56-1257
1081,6,BD56-1262
1082,6,BD56-1265
1083,6,BD56-1268
1084,6,BD56-1273
1085,6,BD56-1309
1086,6,BD56-1319
1087,6,BD56-1327
1088,6,BD56-1393
1089,6,BD56-1403
1090,6,BD56-1428
1091,6,BD56-1451
1092,6,BD56-1459
1093,6,BD56-1463
1094,6,BD56-1477
1095,6,BD56-1481
1096,6,BD56-1518
1097,6,BD56-1552
1098,6,BD56-1585
1099,6,BD56-1618
1100,6,BD56-1684
1101,6,BD56-1754
1102,6,BD56-1770
1103,6,BD56-1802
1104,6,BD56-1809
1105,6,BD56-1820
1106,6,BD56-1838
1107,6,BD56-1840
1108,6,BD56-1850
1109,6,BD56-1853
1110,6,BD56-1859
1111,6,BD56-1860
1112,6,BD56-1869
1113,6,BD56-1879
1114,6,BD56-1880
1115,6,BD56-1883
1116,6,BD56-1886
1117,6,BD56-1887
1118,6,BD56-1895
1119,6,BD56-1900
1120,6,BD56-1903
1121,6,BD56-1907
1122,6,BD56-1908
1123,6,BD56-1915
1124,6,BD56-1916
1125,6,BD56-1921
1126,6,BD56-1925
1127,6,BD56-1928
1128,6,BD56-1930
1129,6,BD56-1934
1130,6,BD56-1937
1131,6,BD56-1945
1132,6,BD56-1949
1133,6,BD56-233
1134,6,BD56-234
1135,6,BD56-412
1136,6,BD56-413
1137,6,BD56-420
1138,6,BD56-423
1139,6,BD56-433
1140,6,BD56-437
1141,6,BD56-477
1142,6,BD56-493
1143,6,BD56-619
1144,6,BD56-917
1145,6,BD56-961
1146,6,BD56-969
1147,6,BD57-002
1148,6,BD57-003
1149,6,BD57-005
1150,6,BD57-006
1151,6,BD57-013
1152,6,BD57-017
1153,6,BD57-018
1154,6,BD57-025
1155,6,BD57-0287
1156,6,BD57-029
1157,6,BD57-043
1158,6,BD57-047
1159,6,BD57-078
1160,6,BD58-0448
1161,6,BD58-0573
1162,6,BG1-24
1163,6,BG10-19
1164,6,BG7-20
1165,6,C002
1166,6,C058
1167,6,C093
1168,6,C102
1169,6,C105
1170,6,C121
1171,6,C144
1172,6,C1A-B12
1173,6,C1A-B3
1174,6,C1A-C2
1175,6,C1A-F10
1176,6,C516
1177,6,C591
1178,6,CC12.1
1179,6,CC12.3
1180,6,CM32
1181,6,COV2-2353
1182,6,COV2-2413
1183,6,COV2-2479
1184,6,COV2-2499
1185,6,COV2-2504
1186,6,COV2-2589
1187,6,COV2-2678
1188,6,COV2-2807
1189,6,COV2-2919
1190,6,COVA2-04
1191,6,COVA2-39
1192,6,COVOX-269
1193,6,COVOX-316
1194,6,COVOX-384
1195,6,COVOX-40
1196,6,COVOX-88
1197,6,CV05-163
1198,6,CV07-200
1199,6,CV07-222
1200,6,CV07-255
1201,6,CV07-262
1202,6,CV07-283
1203,6,CV07-315
1204,6,CV30
1205,6,CV38-142
1206,6,DH1041
1207,6,DH1042
1208,6,DH1043
1209,6,DH1047
1210,6,DH1082
1211,6,DH1111
1212,6,DH1128
1213,6,DH1129
1214,6,DH1130
1215,6,DH1140
1216,6,DH1143
1217,6,DH1154
1218,6,DH1159-2
1219,6,DH1161-2
1220,6,DH1173
1221,6,DH1179
1222,6,DH1180
1223,6,DH1183
1224,6,DH1184
1225,6,DH1186
1226,6,DH1196
1227,6,DH1210
1228,6,DH1214
1229,6,DXP-593
1230,6,Ehling_mAb-64
1231,6,H4
1232,6,LY-CoV016
1233,6,LY-CoV488
1234,6,LY-CoV555
1235,6,P2B-1A10
1236,6,P2C-1A3
1237,6,P4A1
1238,6,P5A-2G9
1239,6,P5A-3A1
1240,6,S2H13
1241,6,S2H14
1242,6,S2M11
1243,6,WIBP-2B11
1244,6,XG-017
1245,6,XG2v-045
1246,6,XG2v-098
1247,6,XGv-003
1248,6,XGv-032
1249,6,XGv-040
1250,6,XGv-052
1251,6,XGv-055
1252,6,XGv-094
1253,6,XGv-097
1254,6,XGv-116
1255,6,XGv-152
1256,6,XGv-155
1257,6,XGv-225
1258,6,XGv-232
1259,6,XGv-261
1260,6,XGv-287
1261,6,XGv-337
1262,6,XGv-387
1263,6,XGv-421
1264,7,BD-319
1265,7,BD-713
1266,7,BD-864
1267,7,BD-918
1268,7,BD55-1442
1269,7,BD55-1779
1270,7,BD55-5583
1271,7,BD55-5917
1272,7,BD55-6382
1273,7,BD55-6531
1274,7,BD55-853
1275,7,BD55-859
1276,7,BD55-880
1277,7,BD56-014
1278,7,BD56-022
1279,7,BD56-028
1280,7,BD56-031
1281,7,BD56-077
1282,7,BD56-085
1283,7,BD56-124
1284,7,BD56-1251
1285,7,BD56-1258
1286,7,BD56-1277
1287,7,BD56-1303
1288,7,BD56-1420
1289,7,BD56-1466
1290,7,BD56-1486
1291,7,BD56-1521
1292,7,BD56-1546
1293,7,BD56-1573
1294,7,BD56-1612
1295,7,BD56-1648
1296,7,BD56-1652
1297,7,BD56-1661
1298,7,BD56-1699
1299,7,BD56-1712
1300,7,BD56-1759
1301,7,BD56-1764
1302,7,BD56-1782
1303,7,BD56-1793
1304,7,BD56-1800
1305,7,BD56-1803
1306,7,BD56-1811
1307,7,BD56-1839
1308,7,BD56-1862
